location,address,description,vendor,lat,lon,days_on_site,amenities,bathrooms,parking_lots,num_bedrooms,m2,final_price,price_square_meter,street,neighbourhood,postcode
"Sinaloa 20 , Roma Sur, Roma Sur, Cuauhtémoc, Distrito Federal","Sinaloa 20 , Roma Sur",Garden house  con 2 habitaciones y dos baños completos La habitación principal cuenta con walking closet y baño completo. Cuenta con dos jardines en casa extremo del departamento + una terraza.Roof garden compartido Vigilancia 24h y CCTV2 estacionamientos independientes   Los mejores desarrollos en las zonas mas rentables de la ciudad.Investe.Mx,Investemx,19.4213173,-99.1641821,5,3,2,2,2,127,9000000,70866.14173,Calle Sinaloa,Colonia Roma Norte,6700
"Tonala, Roma Norte, Cuauhtémoc, Distrito Federal",Tonala,"Mezcla perfecta entre E S T I L O y C A L I D A D de vidaP R O Y E C T O44 Departamentos en 11 niveles, diseñados para elevar la calidad de vida de sus habitantes por su diseño vanguardista, excelente distribución, altura de tres metros con amplios espacios, ventilados e iluminados, los mejores acabados y materiales robustos de construcción como concreto y acero, que te darán una increíble sensación de calidad y seguridad estructural.P L A N T A T I P O4 Departamentos exterioresA - 5 1 . 8 5 m2B - 5 8 . 6 0 m2C - 5 4 . 1 5 m2D - 5 5 . 6 0 m2A M E N I T I E SNIVEL 12 - Roof Garden Público · Vista panorámica · Grill · Huerto · 2 Comedores · Sky Lounge · Firepit PLANTA BAJA -  Concierge · Coffee Shop · Business CenterSÓTANO - Estacionamiento de bicicletas · Bodegas · Laundry RoomU B I C A C I Ó NLa colonia Roma Norte es de las más populares de la Ciudad de México por su buena conectividad vial, seguridad y variedad de servicios. Es una mezcla de vida cotidiana con turismo, entre sus calles hay establecimientos dedicados a la gastronomía, la moda y el consumo sustentable, por lo que vivir en alguna de ellas sin duda puede ofrecerte muchos beneficios.La Roma ha sido, desde su fundación, una zona visitada por artistas y otros personajes, por lo que vivir en ella es sinónimo de estilo, sus calles están inspiradas en los cánones urbanísticos franceses, así que tienes la posibilidad de vivir rodeado de arquitectura europea, por ejemplo, la Fuente de la Cibeles, una réplica de la original que está en Madrid.M O V I L I D A DMETROBÚS - Un sistema de transporte, basado en autobuses de capacidad y tecnología de punta, que brinda movilidad urbana de manera rápida y segura por medio de la integración de una infraestructura preferente, operaciones rápidas y frecuentes, sistema de pago automatizado y excelencia en calidad en el servicio.,METRO - El Metro es un sistema de transporte colectivo que conecta a la ciudad mediante trenes subterráneos y superficiales organizados en 12 líneas con 195 estaciones en diferentes rutas.ECOBICI - El sistema de bicicletas públicas de la Ciudad de México ha sido adoptado por habitantes y turistas, debido a que este modo de transporte es la mejor opción para recorrer distancias cortas y medianas. Hoy, cuenta con un sistema de bicicletas eléctricas de pedaleo asistido, que permite a los usuarios recorrer distancias más largas, con menor esfuerzo. La estación mas cercana a Terraloza esta a menos de 50 metros.CICLOVÍA - La linea de Insurgentes fue inaugurada en junio de 2020 ante la pandemia por covid-19. El objetivo es que los pasajeros de la Ciudad de México tuvieran otra alternativa de movilidad para evitar saturación en el transporte público. La red de ciclovías es tan amplia que te conecta a los sitios y colonias con mayor importancia de la ciudad.SISTEMA DE AISLAMIENTO SÍSMICO DE BASEEl aislamiento sísmico basal limita la transferencia de energía del suelo a la estructura en caso de un terremoto o vibraciones mas pequeñas.El principio del sistema de aislamiento sísmico es el de desacoplar la estructura de los movimientos del terreno provocados por los terremotos que pudieran provocar daños a la estructura soportante. Esto se consigue mediante el uso de una serie de dispositivos antisísmicos llamados aisladores, que son colocados de manera estratégica sobre la cimentación o en cualquier otra parte de la estructura permitiendo que actúen de manera adecuada durante un terremoto. Los aisladores sísmicos proporcionan suficiente flexibilidad a la estructura para garantizar que el periodo natural de esta difiera del periodo natural del terremoto en la mayor medida posible. Esto evita la aparición del fenómeno de resonancia, que podría provocar daños muy severos e inclusive el colapso de la estructura.Sin duda, T E R R A L O Z A Roma Norte, será una referencia de arquitectura a nivel internacional y el proyecto con mayor identidad y plusvalía de la zona.",Avitana,19.4210293,-99.1635414,7,2,1,1,1,54,4264000,78962.96296,Avenida Insurgentes Sur,Colonia Roma Norte,6700
"Tepeji 43, Roma Sur, Ciudad De México, Cdmx, México, Roma Sur, Cuauhtémoc, Distrito Federal","Tepeji 43, Roma Sur, Ciudad De México, Cdmx, México","Concepto único en Roma Sur, es un desarrollo de 4 townhouses en 3 niveles más roof garden privado.Increíble ubicación con todo tipo de servicios a menos de 20 minutos caminando: restaurantes, parques, supermercados, etc. además de toda la vida de la colonia Roma. Acabados de última generación: en concreto aparente, mármol y madera.En planta baja cuenta con una amplia estancia con terraza y un pequeño balcón en la cocina y medio baño para visitas; en el primer nivel están dos recámaras con clóset cada una y que comparten un baño completo y el área de lavado; en el segundo nivel se encuentra la recámara principal con amplio baño y un estudio de T.V.; por último un piso más arriba está el roof garden privado de este departamento. Cuenta con dos bodegas y dos estacionamientos con elevaautos",Ebranuncios,19.4078138,-99.1618723,4,4.081349206,3,2,3,163,8093500,49653.37423,Calle Tepeji,Colonia Roma Sur,6760
"Linares, Roma Sur, Cuauhtémoc, Distrito Federal",Linares,"[VEN] ID HM: 40395.En Houm hacemos todo más fácil y seguro. Estos son los beneficios de comprar con nosotros:• Te ayudamos a conseguir financiamiento a través de una asesoría personalizada.• Mediación y seguimiento de todo el proceso.¡Sólo te preocupas de las firmasDepartamento en venta, ubicado en la colonia cerca de avenidas principales como Viaducto Miguel Alemán, Monterrey y Avenida Baja California, también se encontrara a 3 minutos la estación del metro Centro Médico correspondiente a la linea 3 y 9 del metro, cuenta con una superficie total de 93 m2.Principales características del inmueble: • 2 Recámaras• 2 Baños completos• Escaleras • Ubicado en Primer Nivel • Cocina integral• Comedor• Conexión para Lavadora • Portero • Closets¡Comienza una nueva etapa con Houm Fácil, rápido, contigo.[VEN] ID HM: 40395.",Houm,19.404992,-99.1602428,150,2,2,1,2,93,4000000,43010.75269,Calle Linares,Colonia Roma Sur,6760
"Frontera, Roma Norte, Cuauhtémoc, Distrito Federal",Frontera,"La mejor opción en Roma Norte, sólo 7 departamentos zona con alta plusvalía, departamentos de 80m a 130m, roof garden común y privado, captación y reutilización de aguas pluviales, elevador, te incluimos centro de lavado, y canceles de baño, la zona tiene parques a tan sólo 3 cuadras, hay hospitales, bancos, una gran oferta de restaurantes en la zona, te puedes mover en ecobici, contamos con vigilancia las 24 horas, acabados de lujos y tenemos expertos en diseño para ofrecerte la mejor opción.Últimos Departamentos Disponibles:Departamento B nivel 2103.58m2 recamaras2 baños completosCocina IntegralSala comedorCuarto de lavado1 Estacionamiento$6,732,700 PH tipo B 103.58m habitablesRoof Garden de 75.35m2 recamaras2 baños completosCocina IntegralSala comedorCuarto de lavado1 Estacionamiento $8,993,200ENTREGA FEBRERO",Contactobienesraicesgold,19.4196927,-99.1560364,52,4,2,1,2,103,6732700,65366.01942,Calle Frontera,Colonia Juárez,6700
"Chilpancingo, Roma Sur, Cuauhtémoc, Distrito Federal",Chilpancingo,"ESTRENE PRECIOSO DEPARTAMENTO BREZO CHILPANCINGO, EN LA MEJOR ZONA DE LA ROMA SUR A 5 MINUTOS DE LA CONDESA Y DEL WTC, CERQUITA DEL CENTRO MEDICO DALINDE,  DEL PARQUE ESPAÑA Y PARQUE MEXICO, EN PLANTA BAJA, CON ESTRICTA VIGILANCIA Y CIRCUITO CERRADO, MUY ILUMINADO, SALA COMEDOR Y COCINA CON PISOS DE PORCELANATO Y PERSIANAS, TERRAZA INTERIOR, LAS RECAMARAS CON PISO LAMINADO, CLOSET, Y PERSIANAS, BAÑO CON ACABADOS EN MARMOL Y CANCEL DE CRISTAL TEMPLADO. ROOF GARDEN COMUN, CON ASADOR. ELEVADOR. ESTUPENDA OPORTUNIDAD DE INVERSION. APROVECHE OPORTUNIDAD BAJO DE PRECIO.",Lidialopeza ,19.4030201,-99.1687004,120,3,1,1,2,67,3200000,47761.19403,Chilpancingo,Colonia Roma Sur,6760
"Sinaloa 20 , Roma Norte, Cuauhtémoc, Distrito Federal","Sinaloa 20 , Roma Norte",Garden house  con 2 habitaciones y dos baños completos La habitación principal cuenta con walking closet y baño completo. Cuenta con dos jardines en casa extremo del departamento + una terraza.Roof garden compartido Vigilancia 24h y CCTV2 estacionamientos independientes   Los mejores desarrollos en las zonas mas rentables de la ciudad.Investe.Mx,Investemx,19.4213173,-99.1641821,18,3,2,2,2,127,9000000,70866.14173,Calle Sinaloa,Colonia Roma Norte,6700
"Roma Sur, Cuauhtémoc, Distrito Federal",,"Ref: NEX-83961 ¡Apartalo ya, agenda una cita! Descripción Vive en Roma Sur con tu nuevo Depa en Coahuila, ubicado en la alcaldía Cuauhtémoc, una de las zonas con más plusvalía de la CDMX. La vivienda cuenta con 111.90m2 y está ubicada en un 2º piso,de un pequeño edificio. Cuenta con amplia estancia, cocina equipada e independiente, 2 acogedoras recámaras, 2 baños completos, y 1 cajón de estacionamiento. Ubicación Su excelente ubicación te permitirá tener al alcance todos los servicios, ya que se encuentra próximo a Av. Insurgentes Sur, Viad. Pdte. Miguel Aleman Valdez y Circuito Bicentenario. Zona A sus alrededores cuenta con: Sears Insurgentes, Mercado Roma, Parque Delta, Pabellón Cuauhtémoc y Cine Tonalá. Prototipo 2 recamaras 2 baños 1 estacionamiento 112 m2 Piso 2 Elevador si Seguridad Si  ¡PRECIO Y DISPONIBILIDAD SUJETO A CAMBIO SIN PREVIO AVISO!  NEXIMOINMOBILIARIADIGITAL",Neximo,19.4111979,-99.1649286,31,4.081349206,2,1,2,112,5550000,49553.57143,Calle Tapachula,Centro Urbano Benito Juárez,6700
"Colima, Roma Norte, Cuauhtémoc, Distrito Federal",Colima,"[VEN] ID HOUM: 41504¿Estás en busca de un espacio propio para vivir tu vida al máximo? ¡Bienvenido a tu nuevo hogarEn Houm te ayudamos a encontrar el hogar perfecto para ti. Usamos la tecnología para hacer de la experiencia de comprar, rentar o vender una propiedad algo simple y rápido. Conoce más sobre este departamento: Este departamento cuenta con una superficie de construcción de 154 m2, tiene 3 recámaras, 2.5 baños, excelente distribución de espacios con sala, comedor, área de lavado, 2 estacionamientos, etc. Conoce el desarrollo: Encuentra el departamento ideal para ti. Este hermoso desarrollo está conformado por 13 departamentos con un estilo moderno y estilizado. Además cuenta con materiales y equipos de la más alta calidad.Todos los departamentos tienen de 2 a 3 recámaras, 2 baños completos, closets, sala, comedor, cocina abierta, área de lavado, hasta 2 cajones de estacionamiento.De precios puedes encontrar desde $8,250,000 hasta $10,592,361 Además de los espacios de lujo que tiene cada departamento, el desarrollo cuenta con: • Terraza• Balcón• Vigilancia • Circuito cerrado de monitoreo las 24 horas del día para tu seguridad y tranquilidad.Recuerda que en Houm: • Te brindamos asesoría personalizada durante todo el proceso. • Te ayudamos a encontrar el mejor financiamiento con ayuda de expertos. • Te ofrecemos un servicio fácil, rápido y eficiente. ¡Comienza una nueva etapa con Houm Fácil, rápido, contigo.[VEN] ID HOUM: 41504",Houm,19.4210727,-99.1557975,150,3,2,2,3,154,10592361,68781.56494,Calle Colima,Colonia Roma Norte,6700
"Cuauhtemoc, Roma Norte, Cuauhtémoc, Distrito Federal",Cuauhtemoc,Oportunidad !!!! Departamento ubicado en una de las zonas más atractivas para vivir. Justo al final de la calle Álvaro Obregón principal avenida de la colonia Roma.El conjunto cuenta con amenidades como :Gimnasio EquipadoSalón de usos Multiples ( 100 personas)Patio Interior de 800 m2.Seguridad 24hrs.CCTV.Estacionamiento Techado (2 Lugares),Balinter,19.4193053,-99.1538106,55,4,2,2,2,100,5300000,53000,Avenida Cuauhtémoc,Colonia Doctores,6720
